441.272583
0.122, 0.174, 74.00
0.340, 0.151, 69.00
0.496, 0.261, 67.00
0.763, 0.099, 66.00
1.654, 0.223, 73.00
1.884, 0.151, 74.00
2.040, 0.122, 73.00
2.168, 0.093, 74.00
2.267, 0.154, 72.00
2.543, 0.116, 68.00
2.792, 0.125, 69.00
3.048, 0.151, 62.00
3.207, 0.177, 67.00
3.393, 0.099, 66.00
3.498, 0.203, 64.00
3.846, 0.113, 61.00
3.965, 0.113, 62.00
4.084, 0.142, 64.00
4.232, 0.113, 66.00
4.351, 0.104, 67.00
4.484, 0.104, 71.00
4.595, 0.131, 76.00
5.007, 0.255, 69.00
5.268, 0.093, 79.00
5.367, 0.131, 78.00
6.142, 0.148, 69.00
6.296, 0.119, 73.00
6.420, 0.104, 74.00
6.531, 0.104, 73.00
6.641, 0.139, 74.00
6.908, 0.128, 69.00
7.816, 0.110, 69.00
7.933, 0.116, 71.00
8.072, 0.102, 79.00
8.179, 0.145, 76.00
8.342, 0.151, 74.00
8.551, 0.099, 69.00
8.673, 0.273, 67.00
8.951, 0.113, 66.00
9.070, 0.311, 62.00
9.442, 0.267, 77.00
9.956, 0.113, 69.00
10.304, 0.194, 65.00
10.760, 0.110, 69.00
10.992, 0.134, 78.00
11.250, 0.131, 69.00
11.389, 0.119, 78.00
11.543, 0.107, 79.00
11.656, 0.139, 76.00
